player_key,display_name,bat_innings,bat_runs,bat_balls,bat_dismissals,bat_sr,bat_avg,bowl_innings,bowl_balls,bowl_runs,bowl_wickets,bowl_econ,bowl_sr,bat_strength,bowl_strength
rp meredith,RP Meredith,2.0,0.0,3.0,0.0,0.0,0.0,18.0,388.0,612.0,19.0,9.4639,20.4211,0.0,-0.5162
rp singh,RP Singh,28.0,52.0,76.0,14.0,68.4211,3.7143,82.0,1775.0,2338.0,90.0,7.9031,19.7222,-2.7405,0.7627
rr bhatkal,RR Bhatkal,1.0,0.0,2.0,1.0,0.0,0.0,1.0,12.0,35.0,0.0,17.5,12.0,0.0,0.0
rr bose,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,24.0,0.0,12.0,12.0,0.0,0.0
rr pant,RR Pant,123.0,3566.0,2417.0,102.0,147.5383,34.9608,0.0,0.0,0.0,0.0,0.0,0.0,1.0174,0.0
rr powar,RR Powar,9.0,67.0,64.0,2.0,104.6875,33.5,26.0,426.0,527.0,13.0,7.4225,32.7692,-0.5183,0.625
rr raje,RR Raje,5.0,20.0,18.0,1.0,111.1111,20.0,10.0,139.0,209.0,6.0,9.0216,23.1667,0.0,-0.2717
rr rossouw,RR Rossouw,22.0,473.0,308.0,20.0,153.5714,23.65,0.0,0.0,0.0,0.0,0.0,0.0,1.0527,0.0
rr sarwan,RR Sarwan,4.0,73.0,75.0,3.0,97.3333,24.3333,0.0,0.0,0.0,0.0,0.0,0.0,-0.9242,0.0
rs bopara,RS Bopara,22.0,531.0,453.0,17.0,117.2185,31.2353,14.0,206.0,292.0,11.0,8.5049,18.7273,-0.107,0.3203
rs gavaskar,RS Gavaskar,1.0,2.0,8.0,1.0,25.0,2.0,1.0,6.0,8.0,0.0,8.0,6.0,0.0,0.0
rs hangargekar,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,60.0,3.0,10.0,12.0,0.0,0.0
rs sodhi,RS Sodhi,1.0,4.0,2.0,0.0,200.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rt ponting,RT Ponting,9.0,91.0,128.0,8.0,71.0938,11.375,0.0,0.0,0.0,0.0,0.0,0.0,-2.1906,0.0
rv gomez,RV Gomez,9.0,50.0,51.0,5.0,98.0392,10.0,9.0,96.0,129.0,5.0,8.0625,19.2,0.0,0.6558
rv patel,RV Patel,7.0,80.0,73.0,4.0,109.589,20.0,1.0,18.0,22.0,0.0,7.3333,18.0,-0.5791,0.0
rv uthappa,RV Uthappa,197.0,4954.0,3801.0,175.0,130.3341,28.3086,0.0,0.0,0.0,0.0,0.0,0.0,0.3122,0.0
rw price,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,33.0,0.0,11.0,18.0,0.0,0.0
s anirudha,S Anirudha,12.0,136.0,113.0,8.0,120.354,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2709,0.0
s aravind,S Aravind,10.0,59.0,57.0,3.0,103.5088,19.6667,38.0,760.0,1039.0,45.0,8.2026,16.8889,0.0,0.6361
s badree,S Badree,5.0,13.0,23.0,5.0,56.5217,2.6,12.0,258.0,319.0,11.0,7.4186,23.4545,0.0,1.0014
s badrinath,S Badrinath,65.0,1441.0,1212.0,46.0,118.8944,31.3261,0.0,0.0,0.0,0.0,0.0,0.0,-0.0463,0.0
s chanderpaul,S Chanderpaul,3.0,25.0,31.0,3.0,80.6452,8.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s dhawan,S Dhawan,221.0,6769.0,5326.0,187.0,127.0935,36.1979,6.0,48.0,66.0,4.0,8.25,12.0,0.31,0.0
